ID,Player full name
10024,MauroArambarri
10212,GabrielPaulista
10214,NachoVidal
11091,BraisMéndez
11092,AndoniGorosabel
11250,IgnasiMiquel
11418,FrancisCoquelin
11680,ChocoLozano
11697,LucasBoyé
11700,FerranTorres
11866,HugoDuro
11877,MiguelRubio
128,BorjaIglesias
12900,ViníciusJúnior
12902,Raúl deTomás
12911,GonzaloMelero
12916,EzequielÁvila
12941,ÓscarTrejo
12944,SergioAkieme
12945,FranBeltrán
12946,SantiComesaña
12947,KevinVázquez
12949,ThomasLemar
12951,JaimeMata
130,IagoAspas
13004,SergiGuardiola
13005,AndriyLunin
13014,ToniVilla
13015,ChrisRamos
13420,MouctarDiakhaby
13697,MikelMerino
13700,WilliamCarvalho
13702,JoséArnaiz
13971,MarcCardona
14379,AitorFernández
14500,José ÁngelPozo
14670,ThibautCourtois
14691,AdriàPedrosa
14762,AndréSilva
14789,OihanSancet
14790,PeruNolaskoain
14791,GorkaGuruzeta
14796,ÓscarRodríguez
14803,MartínMerquelanz
14811,UnaiSimón
14839,ManuMorlanes
14911,ÁlvaroGarcía
15338,Robin LeNormand
15339,ValeryFernández
15342,AnderBarrenetxea
15344,BrahimDíaz
15345,AihenMuñoz
15566,YangelHerrera
15693,JaviGalán
15756,AlejandroCatena
158,DaniGarcía
162,GonzaloEscalante
16779,ÁlexSola
1684,KikeGarcía
16868,AnderGuevara
1689,RubénPeña
16976,MartínZubimendi
1708,ÁlvaroMorata
171,RubénDuarte
1713,FlorianLejeune
1718,AridaneHernández
1719,AïssaMandi
17290,SergioCamello
17291,CarlesPérez
1743,VíctorDíaz
17450,AitorRuibal
17452,ÉderMilitão
17453,Frenkie DeJong
17459,Rodrygo
17461,Fede SanEmeterio
175,AntonioRaíllo
1756,UnaiGarcía
17572,JaviMuñoz
1759,DavidGarcía
17614,KikeBarja
17615,SergioHerrera
1762,ÁlexBerenguer
17620,AntonioPuertas
17623,FerlandMendy
1773,KepaArrizabalaga
1775,RubénSobrino
17975,AbdónPrats
17979,MartinValjent
17980,DaniRodríguez
17981,IddrisuBaba
17989,Jorge deFrutos
18004,AnteBudimir
18109,LuisRioja
18186,JulesKoundé
18221,JoãoFélix
18223,LucasOcampos
18317,RaúlAlbiol
18437,AlbertoMoreno
18465,JosephAidoo
185,JoanJordan
18532,AleksandarSedlar
18555,DomingosDuarte
19146,NabilFekir
19168,NemanjaGudelj
192,VicenteGuaita
19514,CarlosNeva
19527,JonMoncayola
19562,TakefusaKubo
196,DamiánSuárez
19727,RodrigoRiquelme
19747,ThierryCorreia
19927,Raúl García deHaro
19977,RonaldAraújo
20107,ÉdgarGonzález
20111,ErikLamela
20131,ManuSánchez
20320,IñakiPeña
20346,GuidoRodríguez
20481,Suso
208,MoiGómez
21,IkerMuniain
213,StoleDimitrievski
21592,HugoGuillamón
217,DimitriFoulquier
22455,JavierLópez
22459,KikePérez
22471,JonPacheco
22502,AlexBaena
22527,AimarOroz
22543,RenatoTapia
22547,Pedri
22591,RafaMir
22601,Pepelu
22612,LuisMilla
22617,DavidGil
22618,FaliGiménez
22619,IzaCarcelén
22620,PachaEspino
22623,ÁlexFernández
22668,LucasTorró
22672,AlexCentelles
22720,JuanMiranda
22806,IvoGrbić
22877,JuanCruz
22880,OmenukeMfulu
229,DarwinMachís
22930,JeremíasLedesma
23002,ShonWeissman
23138,MarcosAcuña
23171,MarvinPark
23172,UrkoGonzález
23173,SergioArribas
23184,JorgeCuenca
23327,LuisSuárez
23369,JuanFoyth
24,UnaiLópez
24691,MiguelRodríguez
24706,YéremiPino
24726,RodrigoSanchez
24739,ÓscarMingueza
24742,DaniCárdenas
24778,RobertNavarro
24789,NicoWilliams
24790,ÉtienneCapoue
24792,JuanIglesias
25606,PauloGazzaniga
25621,AndreiRațiu
25630,VictorChust
25631,IlaixMoriba
25657,RicardSánchez
25867,AntonioBlanco
25872,MiguelGutiérrez
25885,CarlosDominguez
268,JoséMari
269,José LuisMorales
270,RubénGarcía
27298,DavidAlaba
27333,EricGarcía
27422,CristianRivero
27425,Iñigo Ruiz DeGalarreta
27428,AntonioSánchez
27510,MemphisDepay
27517,IsiPalazón
27518,ÓscarValentín
27520,FranGarcía
27523,MartínPascual
277,RogerMartí
27841,YoussoufSabaly
27852,DanielVivian
27865,JesusAreso
27871,GiorgiMamardashvili
27874,IvánMartín
28274,StefanMitrović
28279,FrancoCervi
28280,DominikGreif
28611,Rodrigo DePaul
28613,OmarAlderete
28619,IvánBalliu
28620,UnaiRopero
28621,AbdelkabirAbqar
28677,BeñatPrados
28773,AitorParedes
28774,JulenAgirrezabala
28776,BeñatTurrientes
28778,JuanluSánchez
28784,José ÁngelCarmona
28787,DiegoLópez
28790,AlbertoMarí
28791,JesúsVázquez
28794,FilipJörgensen
29,IñakiWilliams
29111,RaúlTorrente
29169,PabloIbáñez
29205,AlejandroBalde
29222,GiulianoSimeone
29235,Gavi
29402,RandyNteka
29403,PathéCiss
298,SergiDarder
3060,MarianoDíaz
308,JohanMojica
31,JanOblak
3117,DiegoRico
31213,LuísMaximiano
31267,OmarMascarell
31355,AlexanderSørloth
31478,NikolaMaraš
31484,EduardoCamavinga
31496,HéctorBellerín
3154,MikelVesga
321,Bebé
322,AdriEmbarba
328,DaniCarvajal
33032,RadamelFalcao
332,NachoFernández
334,SergioRamos
33726,HugoÁlvarez
33734,AbdeEzzalzouli
33896,IliasAkhomach
34,JoséGiménez
340,Isco
343,ToniKroos
345,LucasVázquez
346,LukaModrić
354,AritzElustondo
35434,MarcPubill
358,ÍñigoMartínez
35924,JesúsOwono
35943,JaviLlabrés
36046,GonzaloVillar
36048,NahuelTenaglia
36084,CristhianMosquera
361,YuriBerchiche
362,JosebaZaldua
36321,GastónÁlvarez
36332,GiovanniGonzález
36371,VedatMuriqi
36375,MatíasArezo
36376,ReinildoMandava
36377,MyrtoUzuni
37,StefanSavić
3710,DarkoBrašanac
3720,DavidLópez
3728,MarcRoca
3729,Youssef EnNesyri
3778,Joselu
389,CarlosFernández
392,DenisSuárez
39847,YelluSantiago
40029,JuanmiLatasa
40031,MarioDominguez
40032,MikaMármol
40089,UmarSadiq
40090,LargieRamazani
40093,LucasRobertone
40094,ArnauPuigmal
40095,SamuelCosta
40099,Chumi
40105,FernandoMartínez
40147,AntonioRüdiger
40164,ImanolGarcía
40166,AurélienTchouaméni
402,Vitolo
408,PichuCuéllar
413,JorgeMeré
415,LuisHernández
42,Koke
43,ÓliverTorres
431,JoãoCancelo
432,José LuisGayà
44,RaúlGarcía
444,DaniParejo
448,ÁlvaroNegredo
455,EricBailly
456,JaumeCosta
46,SaúlÑíguez
464,AleixGarcía
465,AlfonsoPedraza
474,ManuTrigueros
4753,YerayÁlvarez
476,GerardMoreno
477,LéoBaptistão
48185,PabloTorre
48194,WilliotSwedberg
48202,IbrahimaKébé
48203,RamónTerrats
48205,ArnauMartínez
48208,Juan CarlosMartín
48486,JoséCopete
48537,LuizHenrique
48556,AndreasChristensen
48575,AxelWitsel
48576,HouboulangMendes
48607,MartinSvidersky
48612,PepeReina
48616,SamuelLino
48617,Luca de laTorre
48620,Marcão
48626,MarkoMilovanovic
48657,Raphinha
48672,FabrizioAngileri
48684,RobertLewandowski
4886,AsierVillalibre
48899,KaikyFernandes
48920,PredragRajković
48935,YanCouto
48950,NahuelMolina
48960,KikoFemenía
49,ÁngelCorrea
49040,MomoMbaye
49077,Malcom AduAres
49092,TanguyNianzou
49101,JaviHernández
49111,CenkÖzkacar
492,WillianJosé
49275,AndréAlmeida
49288,AnderHerrera
49292,BrianOcampo
49296,FranPérez
49329,PepChavarría
49336,OriolRomeu
49341,Jørgen StrandLarsen
49342,AbdulMumin
49343,ToniFuidias
49348,MatijaNastasić
49350,LázaroVinicius
49382,MarcosAlonso
49424,KikeSalas
5,Óscar DeMarcos
51,AntoineGriezmann
51060,JuanCruz
51135,PabloBarrios
51137,PabloMarín
51138,JonMagunazelaia
51566,ChadiRiad
51903,CésarMontes
51915,DiegoMendez
51992,LoïcBadé
52043,AbnerVinícius
52044,ViktorTsygankov
52117,Jon AnderOlasagasti
52130,CyleLarin
52131,DiegoMariño
52188,SelimAmallah
52189,AyozePérez
52371,IkerMuñoz
52372,JavierGuerra
52375,LamineYamal
52377,JorgeHerrando
53091,FamaraDiédhiou
53092,JoséCallejón
53093,SergioRuiz
53095,BryanZaragoza
53096,AndréFerreira
53097,AdriLópez
53098,AlbertoMoleiro
53100,EnzoLoiodice
53101,Pejiño
53102,KirianRodríguez
53103,FabioGonzález
53104,BenitoRamírez
53105,SaúlCoco
53106,EricCurbelo
53107,SergiCardona
53109,ÁlvaroLemos
53110,AlexSuárez
53111,ÁlvaroValles
53113,HamariTraoré
53114,JudeBellingham
53143,AbdeRebbach
53144,CarlosBenavídez
53145,XeberAlkain
53340,CristianHerrera
53407,İlkayGündoğan
53414,JuliánAraujo
53433,DanielFuzato
53434,ÇağlarSöyüncü
536,ÍñigoLekue
54817,ArdaGüler
54818,CésarAzpilicueta
54831,SergiAltimira
54833,FedericoGattoni
54834,DaleyBlind
54853,DaleySinkgraven
54868,Sávio
54896,JonathanBamba
54897,Siebe Van derHeyden
54900,CarlosDotor
54953,LucasPires
54960,RafaMarín
55008,MarcianoSanca
55009,FermínLópez
55011,JastinGarcía
55041,SamuOmorodion
55042,UnaiGómez
55043,MartínTejón
55044,JuanmaHerzog
55045,HugoSotelo
55057,DjibrilSow
55058,ArtemDovbyk
55067,DionLopy
55088,CarlStarfelt
551,JaumeDoménech
55115,PabloGozálbez
55159,IbrahimaKoné
55434,SoryKaba
55439,HugoGonzález
55452,SergiCanós
55453,ØrjanNyland
55454,ArsenZakharyan
55462,SilviClúa
55484,MáximoPerrone
55491,DodiLukébakio
55518,IanisHagi
55519,KieranTierney
55523,AnastasiosDouvikas
556,GerardGumbau
55649,RomanYaremchuk
55654,NicoPaz
55656,JhonSolís
55662,BoubakarySoumaré
55663,MihailoRistić
55664,UnaiMarrero
55667,RominigueKouamé
55668,MasonGreenwood
55738,CésarTárrega
55741,FranVieites
55743,CarlosRomero
55754,AssaneDiao
55790,RicardoVisus
55794,MarcGuiu
55871,SokratisPapastathopoulos
55966,AdriàAltimira
55987,YarekGasiorowski
55992,JordiMartín
55993,GonzaloGarcía
56,ClaudioBravo
561,MarcosLlorente
564,MikelOyarzabal
5642,ÓscarMelendo
56502,MikelJauregizar
56506,CarlosVicente
5653,ToniLato
56576,BrunoMéndez
56577,VitorRoque
56578,JohnnyCardoso
56579,Jailson
56583,AugustoBatalla
56594,KamilPiatkowski
56628,LucienAgoumé
56632,IsaacRomero
56634,Julen JonGuerrero
56642,AlbertoDadie
56648,PabloBusto
56656,HannibalMejbri
56667,AlbertoFlores
56668,SheraldoBecker
5691,ÁlvaroOdriozola
5794,MartinHongla
5795,RuiSilva
58,TerStegen
5916,JonGuridi
5917,IgorZubeldia
5920,CarlesAleñá
6025,RaúlFernández
6032,AlexRemiro
6035,IvánVillar
6040,NemanjaMaksimović
6041,JesúsVallejo
6042,MaxiGómez
6044,EnesÜnal
6046,BorjaGarcía
6049,CristianPortu
6053,Juanpe
6057,RubénAlcaraz
6061,AmathNdiaye
6064,ÁlexPozo
6068,IvánAlejo
607,BorjaMayoral
609,DavidSoria
611,AarónEscandell
63,MarcBartra
7024,FedeValverde
7025,MarkoDmitrović
73,IvanRakitić
74,SergiRoberto
7775,AndrésGuardado
7784,UnaiNúñez
7843,MarioHermoso
7845,AdnanJanuzaj
7893,AntonioSivera
79,Munir ElHaddadi
7910,ChristianStuani
8171,DakonamDjené
82,Sandro
8952,JesúsNavas
8953,PabloMaffeo
91,GermánPezzella
96,DaniCeballos
